ip.id,tcp.time_relative
0x6439,13.018603000
0x643a,13.045069000
0x643b,13.045070000
0x643c,13.068704000
0x643d,13.068705000
0x643e,13.092075000
0x643f,13.092076000
0x6440,13.116364000
0x6441,13.116364000
0x6442,13.127870000
0x6443,13.152802000
0x6444,13.152805000
0x6445,13.152853000
0x6446,13.176116000
0x6447,13.176116000
0x6448,13.188543000
0x6449,13.201879000
0x644a,13.201912000
0x644b,13.227776000
0x644c,13.240114000
0x644d,13.277119000
0x644e,13.284837000
0x644f,13.311377000
0x6450,13.311379000
0x6451,13.333556000
0x6452,13.333557000
0x6453,13.333584000
0x6454,13.359204000
0x6455,13.359206000
0x6456,13.372467000
0x6457,13.395129000
0x6458,13.395131000
0x6459,13.419758000
0x645a,13.419759000
0x645b,13.435748000
0x645c,13.475701000
0x645d,13.475702000
0x645e,13.475768000
0x645f,13.491666000
0x6460,13.491667000
0x6461,13.518958000
0x6462,13.518959000
0x6463,13.519029000
0x6464,13.530520000
0x6465,13.552077000
0x6466,13.552078000
0x6467,13.565377000
0x6468,13.589077000
0x6469,13.589079000
0x646a,13.613744000
0x646b,13.613745000
0x646c,13.638553000
0x646d,13.638554000
0x646e,13.662360000
0x646f,13.662361000
0x6470,13.685342000
0x6471,13.700000000
0x6472,13.711062000
0x6473,13.723024000
0x6474,13.733647000
0x6475,13.745517000
0x6476,13.771997000
0x6477,13.771998000
0x6478,13.817499000
0x6479,13.817500000
0x647a,13.817512000
0x647b,13.860842000
0x647c,13.860851000
0x647d,13.862815000
0x647e,13.905929000
0x647f,13.905931000
0x6480,13.905957000
0x6481,13.949982000
0x6482,13.949983000
0x6483,13.950010000
0x6484,13.997949000
0x6485,13.997951000
0x6486,13.997984000
0x6487,14.045449000
0x6488,14.045463000
0x6489,14.045464000
0x648a,14.091207000
0x648b,14.091208000
0x648c,14.095169000
0x648d,14.095170000
0x648e,14.132519000
0x648f,14.132519000
0x6490,14.132530000
0x6491,14.149159000
0x6492,14.149160000
0x6493,14.173151000
0x6494,14.173151000
0x6495,14.199570000
0x6496,14.199571000
0x6497,14.199594000
0x6498,14.213389000
0x6499,14.234634000
0x649a,14.234635000
0x649b,14.260146000
0x649c,14.260148000
0x649d,14.283884000
0x649e,14.283886000
0x649f,14.308286000
